Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen02_dynassign/dynassign_seed1
Starting SACRED ATLA training from scratch for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Alternating every 50 episodes.
Initial Phase: Training PROTAGONIST (Adversary FROZEN)

Ep   48 | Phase: PROTAGO | Ticks: 782 | Protag R: -8679.00 | Antag R: 8308.00 | Delivery:  52.1% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 795 | Protag R: -7574.00 | Antag R: 7203.00 | Delivery:  65.3% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 787 | Protag R: -5437.00 | Antag R: 5065.00 | Delivery:  58.5% | Budget Used: 3720.00/4000.0
  [EVAL ep 50] greedy_atk=9609 learned_atk=9547 gap=-62 +/-532 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...

--- Episode 51: Switching training phase to ANTAGONIST ---
Ep   51 | Phase: ANTAGON | Ticks: 797 | Protag R: -7139.00 | Antag R: 6768.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 786 | Protag R: -8357.00 | Antag R: 7986.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 775 | Protag R: -11529.00 | Antag R: 11158.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 796 | Protag R: -9362.00 | Antag R: 9003.00 | Delivery:  39.6% | Budget Used: 3600.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 779 | Protag R: -5376.00 | Antag R: 5005.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 791 | Protag R: -6797.00 | Antag R: 6426.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 775 | Protag R: -10224.00 | Antag R: 9853.00 | Delivery:  53.3% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 793 | Protag R: -6817.00 | Antag R: 6445.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 793 | Protag R: -9500.00 | Antag R: 9141.00 | Delivery:  52.4% | Budget Used: 3600.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 795 | Protag R: -4100.00 | Antag R: 3729.00 | Delivery:  76.2% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 799 | Protag R: -15716.00 | Antag R: 15345.00 | Delivery:  37.9% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 799 | Protag R: -5706.00 | Antag R: 5335.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 779 | Protag R: -13845.00 | Antag R: 13474.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 791 | Protag R: -8959.00 | Antag R: 8588.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 797 | Protag R: -10029.00 | Antag R: 9657.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 789 | Protag R: -9486.00 | Antag R: 9115.00 | Delivery:  47.1% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 784 | Protag R: -6824.00 | Antag R: 6453.00 | Delivery:  71.4% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 799 | Protag R: -12883.00 | Antag R: 12511.00 | Delivery:  42.6% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 796 | Protag R: -10800.00 | Antag R: 10429.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 797 | Protag R: -7381.00 | Antag R: 7010.00 | Delivery:  64.1% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 779 | Protag R: -2592.00 | Antag R: 2221.00 | Delivery:  80.6% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 790 | Protag R: -7356.00 | Antag R: 6985.00 | Delivery:  53.1% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 792 | Protag R: -5854.00 | Antag R: 5482.00 | Delivery:  57.5% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 790 | Protag R: -5993.00 | Antag R: 5622.00 | Delivery:  62.8% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 797 | Protag R: -8903.00 | Antag R: 8532.00 | Delivery:  67.4% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 790 | Protag R: -7039.00 | Antag R: 6668.00 | Delivery:  61.4% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 794 | Protag R: -8671.00 | Antag R: 8301.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 792 | Protag R: -9732.00 | Antag R: 9361.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 794 | Protag R: -3065.00 | Antag R: 2694.00 | Delivery:  75.7% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 793 | Protag R: -10872.00 | Antag R: 10501.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 782 | Protag R: -8990.00 | Antag R: 8619.00 | Delivery:  54.0% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 797 | Protag R: -11431.00 | Antag R: 11060.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 793 | Protag R: -8583.00 | Antag R: 8212.00 | Delivery:  61.7% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 775 | Protag R: -11570.00 | Antag R: 11199.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 798 | Protag R: -10782.00 | Antag R: 10411.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 790 | Protag R: -13040.00 | Antag R: 12669.00 | Delivery:  47.3% | Budget Used: 3720.00/4000.0
Ep   87 | Phase: ANTAGON | Ticks: 797 | Protag R: -7664.00 | Antag R: 7293.00 | Delivery:  58.8% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 799 | Protag R: -9115.00 | Antag R: 8744.00 | Delivery:  57.7% | Budget Used: 3720.00/4000.0
