BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   66 | Phase: ANTAGON | Ticks: 775 | Protag R: -2700.00 | Antag R: 2400.00 | Delivery:  43.8% | Budget Used: 3000.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 799 | Protag R: -3803.00 | Antag R: 3503.00 | Delivery:  58.3% | Budget Used: 3000.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 798 | Protag R: -4107.00 | Antag R: 3771.00 | Delivery:  53.6% | Budget Used: 3360.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 796 | Protag R: -5656.00 | Antag R: 5320.00 | Delivery:  32.1% | Budget Used: 3360.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 794 | Protag R: -3472.00 | Antag R: 3220.00 | Delivery:  40.8% | Budget Used: 2520.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 793 | Protag R: -7143.00 | Antag R: 6807.00 | Delivery:  34.7% | Budget Used: 3360.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 780 | Protag R: -5112.00 | Antag R: 4800.00 | Delivery:  37.8% | Budget Used: 3120.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 776 | Protag R: -4563.00 | Antag R: 4287.00 | Delivery:  35.2% | Budget Used: 2760.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 798 | Protag R: -4877.00 | Antag R: 4565.00 | Delivery:  37.2% | Budget Used: 3120.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 799 | Protag R: -3755.00 | Antag R: 3455.00 | Delivery:  41.1% | Budget Used: 3000.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 788 | Protag R: -4770.00 | Antag R: 4410.00 | Delivery:  32.8% | Budget Used: 3600.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 799 | Protag R: -3691.00 | Antag R: 3355.00 | Delivery:  51.2% | Budget Used: 3360.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 791 | Protag R: -4844.00 | Antag R: 4484.00 | Delivery:  30.5% | Budget Used: 3600.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 794 | Protag R: -3300.00 | Antag R: 2976.00 | Delivery:  41.3% | Budget Used: 3240.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 775 | Protag R: -3295.00 | Antag R: 3043.00 | Delivery:  37.0% | Budget Used: 2520.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 775 | Protag R: -3477.00 | Antag R: 3177.00 | Delivery:  37.1% | Budget Used: 3000.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 795 | Protag R: -4747.00 | Antag R: 4411.00 | Delivery:  43.2% | Budget Used: 3360.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 799 | Protag R: -5264.00 | Antag R: 4976.00 | Delivery:  30.2% | Budget Used: 2880.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 775 | Protag R: -4276.00 | Antag R: 3988.00 | Delivery:  37.5% | Budget Used: 2880.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 796 | Protag R: -3587.00 | Antag R: 3263.00 | Delivery:  48.8% | Budget Used: 3240.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 782 | Protag R: -2801.00 | Antag R: 2513.00 | Delivery:  52.6% | Budget Used: 2880.00/4000.0
Ep   87 | Phase: ANTAGON | Ticks: 799 | Protag R: -3860.00 | Antag R: 3536.00 | Delivery:  43.8% | Budget Used: 3240.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 796 | Protag R: -3732.00 | Antag R: 3444.00 | Delivery:  52.6% | Budget Used: 2880.00/4000.0
