Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=2).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen04_antag_gate/br_fixed_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   56 | Phase: ANTAGON | Ticks: 782 | Protag R: -8370.00 | Antag R: 7999.00 | Delivery:  56.5% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 793 | Protag R: -6765.00 | Antag R: 6394.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 794 | Protag R: -10453.00 | Antag R: 10081.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 782 | Protag R: -6680.00 | Antag R: 6309.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 777 | Protag R: -8724.00 | Antag R: 8352.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 799 | Protag R: -9743.00 | Antag R: 9372.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 797 | Protag R: -9690.00 | Antag R: 9319.00 | Delivery:  54.8% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 788 | Protag R: -11546.00 | Antag R: 11174.00 | Delivery:  44.2% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 795 | Protag R: -5135.00 | Antag R: 4764.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 791 | Protag R: -7381.00 | Antag R: 7010.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 796 | Protag R: -10357.00 | Antag R: 9986.00 | Delivery:  45.8% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 796 | Protag R: -7053.00 | Antag R: 6681.00 | Delivery:  69.4% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 799 | Protag R: -2108.00 | Antag R: 1737.00 | Delivery:  89.3% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 792 | Protag R: -11570.00 | Antag R: 11198.00 | Delivery:  51.8% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 788 | Protag R: -9339.00 | Antag R: 8967.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 793 | Protag R: -10586.00 | Antag R: 10215.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 799 | Protag R: -7571.00 | Antag R: 7199.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 796 | Protag R: -13335.00 | Antag R: 12964.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 789 | Protag R: -5014.00 | Antag R: 4643.00 | Delivery:  67.4% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 798 | Protag R: -10906.00 | Antag R: 10535.00 | Delivery:  46.4% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 794 | Protag R: -10716.00 | Antag R: 10345.00 | Delivery:  50.8% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 788 | Protag R: -8875.00 | Antag R: 8504.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 797 | Protag R: -13089.00 | Antag R: 12719.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 797 | Protag R: -6861.00 | Antag R: 6490.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 797 | Protag R: -10384.00 | Antag R: 10014.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 788 | Protag R: -19045.00 | Antag R: 18674.00 | Delivery:  38.7% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 793 | Protag R: -6153.00 | Antag R: 5782.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 783 | Protag R: -14557.00 | Antag R: 14186.00 | Delivery:  47.6% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 777 | Protag R: -7849.00 | Antag R: 7478.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 775 | Protag R: -8605.00 | Antag R: 8234.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 775 | Protag R: -4651.00 | Antag R: 4279.00 | Delivery:  71.1% | Budget Used: 3720.00/4000.0
