Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed0
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   82 | Phase: PROTAGO | Ticks: 799 | Protag R: -5727.00 | Antag R: 5577.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   83 | Phase: PROTAGO | Ticks: 799 | Protag R: -5830.00 | Antag R: 5680.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   84 | Phase: PROTAGO | Ticks: 799 | Protag R: -5423.00 | Antag R: 5273.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   85 | Phase: PROTAGO | Ticks: 799 | Protag R: -5554.00 | Antag R: 5404.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   86 | Phase: PROTAGO | Ticks: 799 | Protag R: -5615.00 | Antag R: 5465.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   87 | Phase: PROTAGO | Ticks: 799 | Protag R: -5556.00 | Antag R: 5406.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   88 | Phase: PROTAGO | Ticks: 798 | Protag R: -5424.00 | Antag R: 5274.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   89 | Phase: PROTAGO | Ticks: 799 | Protag R: -5953.00 | Antag R: 5803.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   90 | Phase: PROTAGO | Ticks: 799 | Protag R: -5374.00 | Antag R: 5224.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   91 | Phase: PROTAGO | Ticks: 799 | Protag R: -5787.00 | Antag R: 5637.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   92 | Phase: PROTAGO | Ticks: 798 | Protag R: -6074.00 | Antag R: 5924.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   93 | Phase: PROTAGO | Ticks: 799 | Protag R: -5627.00 | Antag R: 5477.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   94 | Phase: PROTAGO | Ticks: 799 | Protag R: -5833.00 | Antag R: 5683.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   95 | Phase: PROTAGO | Ticks: 799 | Protag R: -4985.00 | Antag R: 4835.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   96 | Phase: PROTAGO | Ticks: 799 | Protag R: -5528.00 | Antag R: 5378.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   97 | Phase: PROTAGO | Ticks: 798 | Protag R: -5618.00 | Antag R: 5468.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   98 | Phase: PROTAGO | Ticks: 797 | Protag R: -5495.00 | Antag R: 5345.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   99 | Phase: PROTAGO | Ticks: 797 | Protag R: -5631.00 | Antag R: 5481.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep  100 | Phase: PROTAGO | Ticks: 799 | Protag R: -5549.00 | Antag R: 5399.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
  [EVAL ep 100] greedy_atk=847 learned_atk=6400 gap=+5553 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: PROTAGO | Ticks: 799 | Protag R: -5767.00 | Antag R: 5617.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
