Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_scripted_seed0/snapshots/protagonist_ep350.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   61 | Phase: ANTAGON | Ticks: 798 | Protag R: -5326.00 | Antag R: 5176.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   62 | Phase: ANTAGON | Ticks: 799 | Protag R: -5938.00 | Antag R: 5788.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   63 | Phase: ANTAGON | Ticks: 798 | Protag R: -5496.00 | Antag R: 5346.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   64 | Phase: ANTAGON | Ticks: 797 | Protag R: -4705.00 | Antag R: 4555.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   65 | Phase: ANTAGON | Ticks: 799 | Protag R: -5650.00 | Antag R: 5500.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   66 | Phase: ANTAGON | Ticks: 799 | Protag R: -5798.00 | Antag R: 5648.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   67 | Phase: ANTAGON | Ticks: 797 | Protag R: -5768.00 | Antag R: 5618.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   68 | Phase: ANTAGON | Ticks: 798 | Protag R: -5767.00 | Antag R: 5617.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   69 | Phase: ANTAGON | Ticks: 799 | Protag R: -5807.00 | Antag R: 5657.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   70 | Phase: ANTAGON | Ticks: 799 | Protag R: -5342.00 | Antag R: 5192.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   71 | Phase: ANTAGON | Ticks: 798 | Protag R: -5714.00 | Antag R: 5564.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   72 | Phase: ANTAGON | Ticks: 799 | Protag R: -5526.00 | Antag R: 5376.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   73 | Phase: ANTAGON | Ticks: 799 | Protag R: -5256.00 | Antag R: 5106.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   74 | Phase: ANTAGON | Ticks: 799 | Protag R: -5296.00 | Antag R: 5146.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   75 | Phase: ANTAGON | Ticks: 799 | Protag R: -5059.00 | Antag R: 4909.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   76 | Phase: ANTAGON | Ticks: 799 | Protag R: -5925.00 | Antag R: 5775.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   77 | Phase: ANTAGON | Ticks: 799 | Protag R: -5580.00 | Antag R: 5430.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   78 | Phase: ANTAGON | Ticks: 799 | Protag R: -6029.00 | Antag R: 5879.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   79 | Phase: ANTAGON | Ticks: 799 | Protag R: -5059.00 | Antag R: 4909.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   80 | Phase: ANTAGON | Ticks: 799 | Protag R: -4795.00 | Antag R: 4645.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   81 | Phase: ANTAGON | Ticks: 799 | Protag R: -5480.00 | Antag R: 5330.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   82 | Phase: ANTAGON | Ticks: 798 | Protag R: -5305.00 | Antag R: 5155.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   83 | Phase: ANTAGON | Ticks: 799 | Protag R: -5477.00 | Antag R: 5327.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   84 | Phase: ANTAGON | Ticks: 798 | Protag R: -5578.00 | Antag R: 5428.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   85 | Phase: ANTAGON | Ticks: 799 | Protag R: -5628.00 | Antag R: 5478.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   86 | Phase: ANTAGON | Ticks: 799 | Protag R: -4788.00 | Antag R: 4638.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   87 | Phase: ANTAGON | Ticks: 799 | Protag R: -4569.00 | Antag R: 4419.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
