Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_vanilla_seed0/snapshots/protagonist_ep375.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   79 | Phase: ANTAGON | Ticks: 799 | Protag R: -5232.00 | Antag R: 5082.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   80 | Phase: ANTAGON | Ticks: 799 | Protag R: -5149.00 | Antag R: 4999.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   81 | Phase: ANTAGON | Ticks: 798 | Protag R: -5451.00 | Antag R: 5301.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   82 | Phase: ANTAGON | Ticks: 799 | Protag R: -4477.00 | Antag R: 4327.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   83 | Phase: ANTAGON | Ticks: 798 | Protag R: -5374.00 | Antag R: 5224.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   84 | Phase: ANTAGON | Ticks: 799 | Protag R: -5513.00 | Antag R: 5363.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   85 | Phase: ANTAGON | Ticks: 797 | Protag R: -4598.00 | Antag R: 4448.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   86 | Phase: ANTAGON | Ticks: 799 | Protag R: -5600.00 | Antag R: 5450.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   87 | Phase: ANTAGON | Ticks: 797 | Protag R: -5332.00 | Antag R: 5182.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   88 | Phase: ANTAGON | Ticks: 799 | Protag R: -5675.00 | Antag R: 5525.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   89 | Phase: ANTAGON | Ticks: 799 | Protag R: -5531.00 | Antag R: 5381.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   90 | Phase: ANTAGON | Ticks: 799 | Protag R: -5366.00 | Antag R: 5216.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   91 | Phase: ANTAGON | Ticks: 799 | Protag R: -5397.00 | Antag R: 5247.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   92 | Phase: ANTAGON | Ticks: 799 | Protag R: -5329.00 | Antag R: 5179.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   93 | Phase: ANTAGON | Ticks: 798 | Protag R: -5200.00 | Antag R: 5050.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   94 | Phase: ANTAGON | Ticks: 799 | Protag R: -5386.00 | Antag R: 5236.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   95 | Phase: ANTAGON | Ticks: 798 | Protag R: -5448.00 | Antag R: 5298.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   96 | Phase: ANTAGON | Ticks: 798 | Protag R: -5038.00 | Antag R: 4888.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   97 | Phase: ANTAGON | Ticks: 799 | Protag R: -4909.00 | Antag R: 4759.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   98 | Phase: ANTAGON | Ticks: 799 | Protag R: -5742.00 | Antag R: 5592.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
