tag,map,range_mult,seed,K,kind,hidden_leth,conceal_reach,n_conceal,phi,R,H,mean_known,eq_static,forgetful_opt,forgetful_cap,forgetful_blind,forgetful_revealed,forgetful_G1,forgetful_G2,forgetful_G_conceal,forgetful_degenerate,persistent_opt,persistent_cap,persistent_blind,persistent_revealed,persistent_G1,persistent_G2,persistent_G_conceal,persistent_degenerate,persistent_blind_arm,persistent_revealed_arm,opt_T10,opt_T20,opt_T40,opt_T80
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,hidden,0.6,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.03051,0.121686,0.121686,30510136.972696,121686026.461509,1.0,True,0.0,0.030676,0.121693,0.121693,30675710.433134,121693363.240544,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,hidden,0.6,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.0,0.0,0.086141,0.000277,0.042717,0.0,True,0.0,0.0,0.086622,0.086622,0.000265,86622058.489744,1.0,True,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,hidden,0.8,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.028537,0.127852,0.127852,28536968.23089,127852109.362383,1.0,True,0.0,0.028706,0.127863,0.127863,28705942.078931,127863352.340936,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,hidden,0.8,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.035759,0.122224,0.122224,35759208.295245,122223695.087994,1.0,True,0.0,0.035671,0.122231,0.122231,35670759.799466,122231116.969343,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,hidden,0.8,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.0,0.0,0.085006,0.000254,0.039201,0.0,True,0.0,0.0,0.08548,0.08548,0.000243,85479534.017659,1.0,True,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,hidden,1.0,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.036236,0.128575,0.128575,36235893.750599,128575339.259434,1.0,True,0.0,0.036305,0.128586,0.128586,36304535.385041,128586417.145241,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,hidden,1.0,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.035572,0.122848,0.122848,35572323.887398,122847657.498809,1.0,True,0.0,0.035481,0.122855,0.122855,35481062.162799,122855097.138873,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,hidden,1.0,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.0,0.0,0.086351,0.000232,0.035759,0.0,True,0.0,0.0,0.086764,0.086764,0.000222,86763513.711691,1.0,True,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,0.4,0.43,0,0.174,26,200,0.3476,0.0322,0.018855,0.17118,0.13984,0.108375,9.078718,5.747772,1.290336,False,0.018344,0.16729,0.140583,0.052502,9.119504,2.862042,2.677666,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.016812,0.017947,0.018344,0.018628
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.4,0.43,0,0.174,26,200,0.3476,0.000484,0.002814,0.012729,0.151246,0.111442,4.522831,39.598513,1.357172,True,0.002759,0.012187,0.151266,0.025664,4.416918,9.301536,5.894096,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002594,0.002689,0.002759,0.002783
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.4,0.43,0,0.174,26,200,0.6213,0.020753,0.03511,0.21806,0.282664,0.130805,6.210763,3.725576,2.16096,False,0.034467,0.214956,0.28264,0.113601,6.236601,3.295939,2.488005,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.032538,0.033594,0.034467,0.034731
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,0.6,0.43,0,0.174,26,200,0.3476,0.032218,0.021278,0.171289,0.139689,0.108115,8.049883,5.080981,1.292031,False,0.020664,0.167405,0.140431,0.052541,8.10111,2.542575,2.672786,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.018825,0.020107,0.020664,0.020986
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.6,0.43,0,0.174,26,200,0.3476,0.000498,0.002622,0.010212,0.150745,0.111388,3.894214,42.474428,1.353335,True,0.002574,0.009794,0.150766,0.025628,3.804768,9.955964,5.882914,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002429,0.002515,0.002574,0.002596
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.6,0.43,0,0.174,26,200,0.6213,0.024601,0.035988,0.218172,0.282231,0.130009,6.062375,3.612571,2.170857,False,0.035329,0.215067,0.282206,0.113074,6.087517,3.200582,2.495756,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.033353,0.034465,0.035329,0.035607
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,0.8,0.43,0,0.174,26,200,0.3476,0.032237,0.024386,0.171532,0.13913,0.099166,7.034098,4.066553,1.402998,False,0.023477,0.167655,0.139883,0.052568,7.141295,2.239129,2.660998,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.020862,0.022581,0.023477,0.023935
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,0.8,0.43,0,0.174,26,200,0.3476,0.000512,0.002626,0.010224,0.150173,0.111289,3.892787,42.374778,1.349391,True,0.002578,0.009805,0.150194,0.0256,3.802952,9.929231,5.866935,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002434,0.00252,0.002578,0.0026
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,0.8,0.43,0,0.174,26,200,0.6213,0.028746,0.037373,0.209139,0.280504,0.128509,5.596004,3.438575,2.182755,False,0.036653,0.206308,0.280479,0.111745,5.62861,3.048703,2.509988,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.034495,0.035779,0.036653,0.036974
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,mixed,1.0,0.43,0,0.174,26,200,0.3476,0.032257,0.024542,0.171877,0.138966,0.099081,7.003369,4.037188,1.40255,False,0.023646,0.167997,0.139718,0.052682,7.104562,2.227887,2.652129,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.021048,0.02276,0.023646,0.024097
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,mixed,1.0,0.43,0,0.174,26,200,0.3476,0.000526,0.002638,0.010443,0.149587,0.11115,3.958587,42.133232,1.345814,True,0.002591,0.010015,0.149608,0.025607,3.865714,9.884608,5.842406,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002448,0.002533,0.002591,0.002612
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,mixed,1.0,0.43,0,0.174,26,200,0.6213,0.03328,0.03955,0.213153,0.28027,0.125572,5.389509,3.175066,2.231938,False,0.03862,0.210209,0.280243,0.109687,5.443032,2.840165,2.554943,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.035793,0.037623,0.03862,0.039068
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,random,0.4,0.43,0,0.174,26,200,0.284,0.000642,0.003256,0.016188,0.129745,0.103354,4.971531,31.741902,1.255346,True,0.003326,0.015679,0.129762,0.017914,4.713977,5.385979,7.243697,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top3,0.003536,0.003406,0.003326,0.003293
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,random,0.4,0.43,0,0.174,26,200,0.5725,0.008551,0.025753,0.105274,0.160614,0.090774,4.087772,3.52474,1.769384,False,0.025507,0.102586,0.160607,0.076972,4.021932,3.017722,2.086564,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.024767,0.025073,0.025507,0.025583
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,random,0.4,0.43,0,0.174,26,200,0.0,0.00282,0.007617,0.042099,0.102673,0.102673,5.526801,13.479089,1.0,False,0.007609,0.042642,0.103411,0.103411,5.604274,13.591005,1.0,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.007583,0.00762,0.007609,0.007618
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,random,0.6,0.43,0,0.174,26,200,0.284,0.000655,0.003272,0.016234,0.129519,0.103275,4.961269,31.562008,1.254118,True,0.003341,0.015722,0.129536,0.017898,4.706024,5.35737,7.237377,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top3,0.003547,0.003419,0.003341,0.003309
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,random,0.6,0.43,0,0.174,26,200,0.5725,0.01004,0.026815,0.107094,0.160431,0.090717,3.993815,3.38308,1.768486,False,0.026527,0.104646,0.160426,0.077076,3.944846,2.905532,2.081409,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.025664,0.026069,0.026527,0.026628
