Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   60 | Phase: ANTAGON | Ticks: 785 | Protag R: -8594.00 | Antag R: 8222.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 796 | Protag R: -10324.00 | Antag R: 9953.00 | Delivery:  45.8% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 798 | Protag R: -8936.00 | Antag R: 8565.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 777 | Protag R: -8878.00 | Antag R: 8506.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 786 | Protag R: -7387.00 | Antag R: 7016.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 799 | Protag R: -8419.00 | Antag R: 8048.00 | Delivery:  53.3% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 797 | Protag R: -10941.00 | Antag R: 10570.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 787 | Protag R: -4579.00 | Antag R: 4207.00 | Delivery:  80.6% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 796 | Protag R: -1460.00 | Antag R: 1089.00 | Delivery:  85.7% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 798 | Protag R: -13588.00 | Antag R: 13216.00 | Delivery:  42.9% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 794 | Protag R: -8445.00 | Antag R: 8073.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 795 | Protag R: -10350.00 | Antag R: 9979.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 775 | Protag R: -6976.00 | Antag R: 6604.00 | Delivery:  64.4% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 793 | Protag R: -14157.00 | Antag R: 13786.00 | Delivery:  46.3% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 786 | Protag R: -5744.00 | Antag R: 5373.00 | Delivery:  65.1% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 791 | Protag R: -10763.00 | Antag R: 10392.00 | Delivery:  48.2% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 790 | Protag R: -13190.00 | Antag R: 12819.00 | Delivery:  42.6% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 789 | Protag R: -6457.00 | Antag R: 6086.00 | Delivery:  75.6% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 796 | Protag R: -14819.00 | Antag R: 14449.00 | Delivery:  40.7% | Budget Used: 3720.00/4000.0
