Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep   96 | Phase: PROTAGO | Ticks: 796 | Protag R: -10004.00 | Antag R: 10005.00 | Delivery:  60.0% | Budget Used:  0.00/4000.0
Ep   97 | Phase: PROTAGO | Ticks: 792 | Protag R: -4207.00 | Antag R: 4208.00 | Delivery:  76.3% | Budget Used:  0.00/4000.0
Ep   98 | Phase: PROTAGO | Ticks: 791 | Protag R: -7408.00 | Antag R: 7409.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep   99 | Phase: PROTAGO | Ticks: 788 | Protag R: -9219.00 | Antag R: 9220.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep  100 | Phase: PROTAGO | Ticks: 795 | Protag R: -9381.00 | Antag R: 9382.00 | Delivery:  56.1% | Budget Used:  0.00/4000.0
  [EVAL ep 100] greedy_atk=5366 learned_atk=5711 gap=+345 +/-239 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: PROTAGO | Ticks: 795 | Protag R: -5721.00 | Antag R: 5722.00 | Delivery:  60.0% | Budget Used:  0.00/4000.0
Ep  102 | Phase: PROTAGO | Ticks: 788 | Protag R: -7149.00 | Antag R: 7150.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep  103 | Phase: PROTAGO | Ticks: 782 | Protag R: -3359.00 | Antag R: 3360.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep  104 | Phase: PROTAGO | Ticks: 798 | Protag R: -5716.00 | Antag R: 5717.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep  105 | Phase: PROTAGO | Ticks: 790 | Protag R: -9928.00 | Antag R: 9928.00 | Delivery:  50.9% | Budget Used:  0.00/4000.0
Ep  106 | Phase: PROTAGO | Ticks: 784 | Protag R: -8269.00 | Antag R: 8269.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep  107 | Phase: PROTAGO | Ticks: 787 | Protag R: -7504.00 | Antag R: 7505.00 | Delivery:  65.9% | Budget Used:  0.00/4000.0
Ep  108 | Phase: PROTAGO | Ticks: 788 | Protag R: -2517.00 | Antag R: 2518.00 | Delivery:  75.6% | Budget Used:  0.00/4000.0
Ep  109 | Phase: PROTAGO | Ticks: 785 | Protag R: -3768.00 | Antag R: 3768.00 | Delivery:  75.0% | Budget Used:  0.00/4000.0
Ep  110 | Phase: PROTAGO | Ticks: 795 | Protag R: -11048.00 | Antag R: 11049.00 | Delivery:  59.3% | Budget Used:  0.00/4000.0
Ep  111 | Phase: PROTAGO | Ticks: 793 | Protag R: -5847.00 | Antag R: 5848.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep  112 | Phase: PROTAGO | Ticks: 789 | Protag R: -6529.00 | Antag R: 6530.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep  113 | Phase: PROTAGO | Ticks: 783 | Protag R: -7927.00 | Antag R: 7927.00 | Delivery:  59.2% | Budget Used:  0.00/4000.0
Ep  114 | Phase: PROTAGO | Ticks: 795 | Protag R: -8868.00 | Antag R: 8869.00 | Delivery:  56.6% | Budget Used:  0.00/4000.0
Ep  115 | Phase: PROTAGO | Ticks: 778 | Protag R: -5268.00 | Antag R: 5269.00 | Delivery:  67.4% | Budget Used:  0.00/4000.0
Ep  116 | Phase: PROTAGO | Ticks: 788 | Protag R: -4857.00 | Antag R: 4858.00 | Delivery:  73.8% | Budget Used:  0.00/4000.0
Ep  117 | Phase: PROTAGO | Ticks: 797 | Protag R: -3813.00 | Antag R: 3814.00 | Delivery:  81.6% | Budget Used:  0.00/4000.0
Ep  118 | Phase: PROTAGO | Ticks: 797 | Protag R: -4128.00 | Antag R: 4129.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep  119 | Phase: PROTAGO | Ticks: 784 | Protag R: -9168.00 | Antag R: 9169.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep  120 | Phase: PROTAGO | Ticks: 795 | Protag R: -5911.00 | Antag R: 5912.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep  121 | Phase: PROTAGO | Ticks: 790 | Protag R: -9826.00 | Antag R: 9827.00 | Delivery:  66.7% | Budget Used:  0.00/4000.0
Ep  122 | Phase: PROTAGO | Ticks: 781 | Protag R: -6004.00 | Antag R: 6005.00 | Delivery:  59.6% | Budget Used:  0.00/4000.0
Ep  123 | Phase: PROTAGO | Ticks: 794 | Protag R: -9467.00 | Antag R: 9468.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep  124 | Phase: PROTAGO | Ticks: 783 | Protag R: -3291.00 | Antag R: 3292.00 | Delivery:  72.5% | Budget Used:  0.00/4000.0
Ep  125 | Phase: PROTAGO | Ticks: 788 | Protag R: -9821.00 | Antag R: 9822.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep  126 | Phase: PROTAGO | Ticks: 793 | Protag R: -4188.00 | Antag R: 4189.00 | Delivery:  78.9% | Budget Used:  0.00/4000.0
Ep  127 | Phase: PROTAGO | Ticks: 793 | Protag R: -6281.00 | Antag R: 6282.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep  128 | Phase: PROTAGO | Ticks: 799 | Protag R: -9505.00 | Antag R: 9506.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep  129 | Phase: PROTAGO | Ticks: 785 | Protag R: -7223.00 | Antag R: 7223.00 | Delivery:  63.0% | Budget Used:  0.00/4000.0
Ep  130 | Phase: PROTAGO | Ticks: 786 | Protag R: -7565.00 | Antag R: 7566.00 | Delivery:  54.5% | Budget Used:  0.00/4000.0
Ep  131 | Phase: PROTAGO | Ticks: 798 | Protag R: -12119.00 | Antag R: 12119.00 | Delivery:  51.7% | Budget Used:  0.00/4000.0
Ep  132 | Phase: PROTAGO | Ticks: 794 | Protag R: -8291.00 | Antag R: 8292.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep  133 | Phase: PROTAGO | Ticks: 791 | Protag R: -10698.00 | Antag R: 10698.00 | Delivery:  49.2% | Budget Used:  0.00/4000.0
Ep  134 | Phase: PROTAGO | Ticks: 796 | Protag R: -5849.00 | Antag R: 5849.00 | Delivery:  62.2% | Budget Used:  0.00/4000.0
