Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed1/snapshots/protagonist_ep700.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   47 | Phase: ANTAGON | Ticks: 798 | Protag R: -5967.00 | Antag R: 5596.00 | Delivery:  70.5% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: ANTAGON | Ticks: 799 | Protag R: -12641.00 | Antag R: 12270.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: ANTAGON | Ticks: 798 | Protag R: -8730.00 | Antag R: 8359.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: ANTAGON | Ticks: 792 | Protag R: -9140.00 | Antag R: 8769.00 | Delivery:  49.1% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 799 | Protag R: -10177.00 | Antag R: 9806.00 | Delivery:  56.9% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 788 | Protag R: -13117.00 | Antag R: 12746.00 | Delivery:  53.4% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 797 | Protag R: -11295.00 | Antag R: 10924.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: ANTAGON | Ticks: 783 | Protag R: -12593.00 | Antag R: 12222.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: ANTAGON | Ticks: 792 | Protag R: -7093.00 | Antag R: 6721.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: ANTAGON | Ticks: 797 | Protag R: -7417.00 | Antag R: 7046.00 | Delivery:  65.2% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: ANTAGON | Ticks: 787 | Protag R: -10153.00 | Antag R: 9782.00 | Delivery:  46.8% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: ANTAGON | Ticks: 792 | Protag R: -8328.00 | Antag R: 7956.00 | Delivery:  61.7% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 787 | Protag R: -6272.00 | Antag R: 5901.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 775 | Protag R: -7209.00 | Antag R: 6837.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 780 | Protag R: -8801.00 | Antag R: 8430.00 | Delivery:  49.2% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 794 | Protag R: -9288.00 | Antag R: 8917.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 799 | Protag R: -9797.00 | Antag R: 9425.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 778 | Protag R: -6019.00 | Antag R: 5648.00 | Delivery:  61.4% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 777 | Protag R: -6689.00 | Antag R: 6318.00 | Delivery:  57.8% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 788 | Protag R: -8311.00 | Antag R: 7952.00 | Delivery:  54.2% | Budget Used: 3600.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 789 | Protag R: -6229.00 | Antag R: 5857.00 | Delivery:  66.7% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 799 | Protag R: -1133.00 | Antag R:  762.00 | Delivery:  89.3% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 775 | Protag R: -11909.00 | Antag R: 11537.00 | Delivery:  55.4% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 791 | Protag R: -8375.00 | Antag R: 8003.00 | Delivery:  59.2% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 788 | Protag R: -9991.00 | Antag R: 9632.00 | Delivery:  59.2% | Budget Used: 3600.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 794 | Protag R: -7359.00 | Antag R: 6987.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 781 | Protag R: -12520.00 | Antag R: 12149.00 | Delivery:  53.7% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 796 | Protag R: -7003.00 | Antag R: 6632.00 | Delivery:  58.1% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: ANTAGON | Ticks: 799 | Protag R: -9050.00 | Antag R: 8679.00 | Delivery:  55.4% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: ANTAGON | Ticks: 784 | Protag R: -11582.00 | Antag R: 11211.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: ANTAGON | Ticks: 780 | Protag R: -8340.00 | Antag R: 7969.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: ANTAGON | Ticks: 783 | Protag R: -15256.00 | Antag R: 14886.00 | Delivery:  40.7% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: ANTAGON | Ticks: 785 | Protag R: -9578.00 | Antag R: 9207.00 | Delivery:  47.8% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: ANTAGON | Ticks: 797 | Protag R: -8577.00 | Antag R: 8207.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: ANTAGON | Ticks: 797 | Protag R: -15490.00 | Antag R: 15119.00 | Delivery:  51.6% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: ANTAGON | Ticks: 794 | Protag R: -5547.00 | Antag R: 5176.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: ANTAGON | Ticks: 789 | Protag R: -13281.00 | Antag R: 12910.00 | Delivery:  49.2% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: ANTAGON | Ticks: 796 | Protag R: -11510.00 | Antag R: 11139.00 | Delivery:  39.6% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: ANTAGON | Ticks: 784 | Protag R: -7609.00 | Antag R: 7250.00 | Delivery:  61.0% | Budget Used: 3600.00/4000.0
Ep   86 | Phase: ANTAGON | Ticks: 792 | Protag R: -5947.00 | Antag R: 5587.00 | Delivery:  68.4% | Budget Used: 3600.00/4000.0
Ep   87 | Phase: ANTAGON | Ticks: 788 | Protag R: -10564.00 | Antag R: 10216.00 | Delivery:  58.3% | Budget Used: 3480.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 793 | Protag R: -5307.00 | Antag R: 4936.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: ANTAGON | Ticks: 790 | Protag R: -13830.00 | Antag R: 13471.00 | Delivery:  43.1% | Budget Used: 3600.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 795 | Protag R: -11263.00 | Antag R: 10892.00 | Delivery:  47.1% | Budget Used: 3720.00/4000.0
