Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed1
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

  [EVAL ep 50] greedy_atk=5366 learned_atk=5742 gap=+376 +/-288 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: PROTAGO | Ticks: 796 | Protag R: -12039.00 | Antag R: 11668.00 | Delivery:  30.6% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: PROTAGO | Ticks: 798 | Protag R: -13421.00 | Antag R: 13050.00 | Delivery:  21.4% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: PROTAGO | Ticks: 798 | Protag R: -14361.00 | Antag R: 13990.00 | Delivery:  27.1% | Budget Used: 3720.00/4000.0
Ep   54 | Phase: PROTAGO | Ticks: 795 | Protag R: -10325.00 | Antag R: 9954.00 | Delivery:  31.2% | Budget Used: 3720.00/4000.0
Ep   55 | Phase: PROTAGO | Ticks: 790 | Protag R: -11459.00 | Antag R: 11088.00 | Delivery:  23.7% | Budget Used: 3720.00/4000.0
Ep   56 | Phase: PROTAGO | Ticks: 775 | Protag R: -12243.00 | Antag R: 11872.00 | Delivery:  32.0% | Budget Used: 3720.00/4000.0
Ep   57 | Phase: PROTAGO | Ticks: 795 | Protag R: -13201.00 | Antag R: 12830.00 | Delivery:  35.6% | Budget Used: 3720.00/4000.0
Ep   58 | Phase: PROTAGO | Ticks: 798 | Protag R: -13433.00 | Antag R: 13061.00 | Delivery:  20.5% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: PROTAGO | Ticks: 785 | Protag R: -11382.00 | Antag R: 11011.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   60 | Phase: PROTAGO | Ticks: 789 | Protag R: -10843.00 | Antag R: 10472.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   61 | Phase: PROTAGO | Ticks: 796 | Protag R: -21908.00 | Antag R: 21537.00 | Delivery:  13.6% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: PROTAGO | Ticks: 778 | Protag R: -9660.00 | Antag R: 9289.00 | Delivery:  40.5% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: PROTAGO | Ticks: 797 | Protag R: -20071.00 | Antag R: 19700.00 | Delivery:  19.3% | Budget Used: 3720.00/4000.0
Ep   64 | Phase: PROTAGO | Ticks: 796 | Protag R: -13087.00 | Antag R: 12716.00 | Delivery:  26.1% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: PROTAGO | Ticks: 778 | Protag R: -14673.00 | Antag R: 14301.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   66 | Phase: PROTAGO | Ticks: 775 | Protag R: -12712.00 | Antag R: 12341.00 | Delivery:  25.5% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: PROTAGO | Ticks: 775 | Protag R: -12538.00 | Antag R: 12167.00 | Delivery:  26.2% | Budget Used: 3720.00/4000.0
Ep   68 | Phase: PROTAGO | Ticks: 775 | Protag R: -19203.00 | Antag R: 18831.00 | Delivery:  16.4% | Budget Used: 3720.00/4000.0
Ep   69 | Phase: PROTAGO | Ticks: 775 | Protag R: -15526.00 | Antag R: 15155.00 | Delivery:  22.4% | Budget Used: 3720.00/4000.0
Ep   70 | Phase: PROTAGO | Ticks: 797 | Protag R: -11598.00 | Antag R: 11227.00 | Delivery:  25.6% | Budget Used: 3720.00/4000.0
Ep   71 | Phase: PROTAGO | Ticks: 798 | Protag R: -7537.00 | Antag R: 7166.00 | Delivery:  25.8% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: PROTAGO | Ticks: 796 | Protag R: -13225.00 | Antag R: 12854.00 | Delivery:  20.4% | Budget Used: 3720.00/4000.0
Ep   73 | Phase: PROTAGO | Ticks: 797 | Protag R: -10772.00 | Antag R: 10400.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: PROTAGO | Ticks: 782 | Protag R: -10856.00 | Antag R: 10485.00 | Delivery:  30.2% | Budget Used: 3720.00/4000.0
Ep   75 | Phase: PROTAGO | Ticks: 791 | Protag R: -13632.00 | Antag R: 13261.00 | Delivery:  32.6% | Budget Used: 3720.00/4000.0
Ep   76 | Phase: PROTAGO | Ticks: 794 | Protag R: -13246.00 | Antag R: 12875.00 | Delivery:  29.5% | Budget Used: 3720.00/4000.0
Ep   77 | Phase: PROTAGO | Ticks: 797 | Protag R: -15135.00 | Antag R: 14765.00 | Delivery:  16.3% | Budget Used: 3720.00/4000.0
Ep   78 | Phase: PROTAGO | Ticks: 789 | Protag R: -15939.00 | Antag R: 15568.00 | Delivery:  19.2% | Budget Used: 3720.00/4000.0
Ep   79 | Phase: PROTAGO | Ticks: 794 | Protag R: -11878.00 | Antag R: 11507.00 | Delivery:  18.9% | Budget Used: 3720.00/4000.0
Ep   80 | Phase: PROTAGO | Ticks: 788 | Protag R: -16890.00 | Antag R: 16519.00 | Delivery:  22.0% | Budget Used: 3720.00/4000.0
Ep   81 | Phase: PROTAGO | Ticks: 775 | Protag R: -15711.00 | Antag R: 15340.00 | Delivery:  20.0% | Budget Used: 3720.00/4000.0
Ep   82 | Phase: PROTAGO | Ticks: 785 | Protag R: -18085.00 | Antag R: 17714.00 | Delivery:  18.0% | Budget Used: 3720.00/4000.0
Ep   83 | Phase: PROTAGO | Ticks: 795 | Protag R: -13781.00 | Antag R: 13410.00 | Delivery:  27.7% | Budget Used: 3720.00/4000.0
Ep   84 | Phase: PROTAGO | Ticks: 797 | Protag R: -17391.00 | Antag R: 17020.00 | Delivery:  17.0% | Budget Used: 3720.00/4000.0
Ep   85 | Phase: PROTAGO | Ticks: 797 | Protag R: -16623.00 | Antag R: 16252.00 | Delivery:  11.1% | Budget Used: 3720.00/4000.0
Ep   86 | Phase: PROTAGO | Ticks: 791 | Protag R: -19950.00 | Antag R: 19579.00 | Delivery:  12.7% | Budget Used: 3720.00/4000.0
Ep   87 | Phase: PROTAGO | Ticks: 776 | Protag R: -15518.00 | Antag R: 15147.00 | Delivery:  19.6% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: PROTAGO | Ticks: 775 | Protag R: -15350.00 | Antag R: 14979.00 | Delivery:  23.1% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: PROTAGO | Ticks: 775 | Protag R: -15029.00 | Antag R: 14658.00 | Delivery:  27.8% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: PROTAGO | Ticks: 777 | Protag R: -15960.00 | Antag R: 15589.00 | Delivery:  23.5% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: PROTAGO | Ticks: 775 | Protag R: -14179.00 | Antag R: 13808.00 | Delivery:  25.5% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: PROTAGO | Ticks: 798 | Protag R: -14004.00 | Antag R: 13633.00 | Delivery:  22.0% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: PROTAGO | Ticks: 798 | Protag R: -14004.00 | Antag R: 13633.00 | Delivery:  26.0% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: PROTAGO | Ticks: 797 | Protag R: -15551.00 | Antag R: 15180.00 | Delivery:  21.2% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: PROTAGO | Ticks: 793 | Protag R: -13725.00 | Antag R: 13354.00 | Delivery:  23.9% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: PROTAGO | Ticks: 775 | Protag R: -12099.00 | Antag R: 11728.00 | Delivery:  31.8% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: PROTAGO | Ticks: 786 | Protag R: -15788.00 | Antag R: 15417.00 | Delivery:  28.6% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: PROTAGO | Ticks: 791 | Protag R: -14815.00 | Antag R: 14444.00 | Delivery:  35.4% | Budget Used: 3720.00/4000.0
