Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/dynassign_scripted_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   58 | Phase: ANTAGON | Ticks: 778 | Protag R: -8046.00 | Antag R: 7674.00 | Delivery:  63.8% | Budget Used: 3720.00/4000.0
Ep   59 | Phase: ANTAGON | Ticks: 798 | Protag R: -4834.00 | Antag R: 4475.00 | Delivery:  73.2% | Budget Used: 3600.00/4000.0
Ep   60 | Phase: ANTAGON | Ticks: 794 | Protag R: -8707.00 | Antag R: 8347.00 | Delivery:  64.3% | Budget Used: 3600.00/4000.0
Ep   61 | Phase: ANTAGON | Ticks: 777 | Protag R: -8269.00 | Antag R: 7898.00 | Delivery:  50.8% | Budget Used: 3720.00/4000.0
Ep   62 | Phase: ANTAGON | Ticks: 777 | Protag R: -9730.00 | Antag R: 9359.00 | Delivery:  59.5% | Budget Used: 3720.00/4000.0
Ep   63 | Phase: ANTAGON | Ticks: 793 | Protag R: -9648.00 | Antag R: 9288.00 | Delivery:  53.8% | Budget Used: 3600.00/4000.0
Ep   64 | Phase: ANTAGON | Ticks: 799 | Protag R: -5664.00 | Antag R: 5293.00 | Delivery:  63.6% | Budget Used: 3720.00/4000.0
Ep   65 | Phase: ANTAGON | Ticks: 792 | Protag R: -7114.00 | Antag R: 6755.00 | Delivery:  60.0% | Budget Used: 3600.00/4000.0
Ep   66 | Phase: ANTAGON | Ticks: 797 | Protag R: -8952.00 | Antag R: 8581.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   67 | Phase: ANTAGON | Ticks: 783 | Protag R: -6784.00 | Antag R: 6436.00 | Delivery:  66.7% | Budget Used: 3480.00/4000.0
Ep   68 | Phase: ANTAGON | Ticks: 796 | Protag R: -2183.00 | Antag R: 1836.00 | Delivery:  89.3% | Budget Used: 3480.00/4000.0
Ep   69 | Phase: ANTAGON | Ticks: 777 | Protag R: -13952.00 | Antag R: 13592.00 | Delivery:  42.9% | Budget Used: 3600.00/4000.0
Ep   70 | Phase: ANTAGON | Ticks: 794 | Protag R: -9471.00 | Antag R: 9123.00 | Delivery:  55.1% | Budget Used: 3480.00/4000.0
Ep   71 | Phase: ANTAGON | Ticks: 797 | Protag R: -8822.00 | Antag R: 8451.00 | Delivery:  67.3% | Budget Used: 3720.00/4000.0
Ep   72 | Phase: ANTAGON | Ticks: 792 | Protag R: -7116.00 | Antag R: 6756.00 | Delivery:  60.0% | Budget Used: 3600.00/4000.0
Ep   73 | Phase: ANTAGON | Ticks: 797 | Protag R: -11552.00 | Antag R: 11181.00 | Delivery:  55.6% | Budget Used: 3720.00/4000.0
Ep   74 | Phase: ANTAGON | Ticks: 792 | Protag R: -6466.00 | Antag R: 6095.00 | Delivery:  55.8% | Budget Used: 3720.00/4000.0
