Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/vanilla_seed0/snapshots/protagonist_ep750.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep   87 | Phase: ANTAGON | Ticks: 785 | Protag R: -12320.00 | Antag R: 11948.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
Ep   88 | Phase: ANTAGON | Ticks: 792 | Protag R: -5766.00 | Antag R: 5395.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep   89 | Phase: ANTAGON | Ticks: 781 | Protag R: -11959.00 | Antag R: 11588.00 | Delivery:  46.6% | Budget Used: 3720.00/4000.0
Ep   90 | Phase: ANTAGON | Ticks: 787 | Protag R: -10853.00 | Antag R: 10482.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep   91 | Phase: ANTAGON | Ticks: 799 | Protag R: -6854.00 | Antag R: 6483.00 | Delivery:  61.4% | Budget Used: 3720.00/4000.0
Ep   92 | Phase: ANTAGON | Ticks: 775 | Protag R: -9828.00 | Antag R: 9457.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   93 | Phase: ANTAGON | Ticks: 797 | Protag R: -4515.00 | Antag R: 4144.00 | Delivery:  70.6% | Budget Used: 3720.00/4000.0
Ep   94 | Phase: ANTAGON | Ticks: 782 | Protag R: -9644.00 | Antag R: 9273.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   95 | Phase: ANTAGON | Ticks: 790 | Protag R: -10501.00 | Antag R: 10130.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   96 | Phase: ANTAGON | Ticks: 799 | Protag R: -3209.00 | Antag R: 2838.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep   97 | Phase: ANTAGON | Ticks: 795 | Protag R: -7217.00 | Antag R: 6846.00 | Delivery:  54.5% | Budget Used: 3720.00/4000.0
Ep   98 | Phase: ANTAGON | Ticks: 797 | Protag R: -8748.00 | Antag R: 8377.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   99 | Phase: ANTAGON | Ticks: 781 | Protag R: -9983.00 | Antag R: 9612.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  100 | Phase: ANTAGON | Ticks: 787 | Protag R: -7388.00 | Antag R: 7016.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Saving checkpoints for both agents before phase switch...
Ep  101 | Phase: ANTAGON | Ticks: 786 | Protag R: -6271.00 | Antag R: 5900.00 | Delivery:  61.9% | Budget Used: 3720.00/4000.0
Ep  102 | Phase: ANTAGON | Ticks: 776 | Protag R: -9895.00 | Antag R: 9524.00 | Delivery:  43.9% | Budget Used: 3720.00/4000.0
Ep  103 | Phase: ANTAGON | Ticks: 799 | Protag R: -4636.00 | Antag R: 4264.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep  104 | Phase: ANTAGON | Ticks: 775 | Protag R: -9340.00 | Antag R: 8969.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep  105 | Phase: ANTAGON | Ticks: 779 | Protag R: -10472.00 | Antag R: 10101.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep  106 | Phase: ANTAGON | Ticks: 781 | Protag R: -9714.00 | Antag R: 9343.00 | Delivery:  47.9% | Budget Used: 3720.00/4000.0
Ep  107 | Phase: ANTAGON | Ticks: 798 | Protag R: -12444.00 | Antag R: 12073.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep  108 | Phase: ANTAGON | Ticks: 789 | Protag R: -9806.00 | Antag R: 9435.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  109 | Phase: ANTAGON | Ticks: 797 | Protag R: -5131.00 | Antag R: 4760.00 | Delivery:  67.5% | Budget Used: 3720.00/4000.0
Ep  110 | Phase: ANTAGON | Ticks: 784 | Protag R: -9200.00 | Antag R: 8828.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep  111 | Phase: ANTAGON | Ticks: 789 | Protag R: -8872.00 | Antag R: 8501.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep  112 | Phase: ANTAGON | Ticks: 782 | Protag R: -7388.00 | Antag R: 7016.00 | Delivery:  55.6% | Budget Used: 3720.00/4000.0
Ep  113 | Phase: ANTAGON | Ticks: 794 | Protag R: -9993.00 | Antag R: 9622.00 | Delivery:  52.5% | Budget Used: 3720.00/4000.0
Ep  114 | Phase: ANTAGON | Ticks: 781 | Protag R: -8735.00 | Antag R: 8364.00 | Delivery:  46.7% | Budget Used: 3720.00/4000.0
Ep  115 | Phase: ANTAGON | Ticks: 792 | Protag R: -10078.00 | Antag R: 9706.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep  116 | Phase: ANTAGON | Ticks: 790 | Protag R: -7125.00 | Antag R: 6754.00 | Delivery:  65.9% | Budget Used: 3720.00/4000.0
Ep  117 | Phase: ANTAGON | Ticks: 798 | Protag R: -6371.00 | Antag R: 6000.00 | Delivery:  67.4% | Budget Used: 3720.00/4000.0
Ep  118 | Phase: ANTAGON | Ticks: 797 | Protag R: -10449.00 | Antag R: 10078.00 | Delivery:  51.9% | Budget Used: 3720.00/4000.0
Ep  119 | Phase: ANTAGON | Ticks: 798 | Protag R: -12079.00 | Antag R: 11708.00 | Delivery:  45.5% | Budget Used: 3720.00/4000.0
Ep  120 | Phase: ANTAGON | Ticks: 797 | Protag R: -10371.00 | Antag R: 10000.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep  121 | Phase: ANTAGON | Ticks: 779 | Protag R: -16504.00 | Antag R: 16133.00 | Delivery:  42.1% | Budget Used: 3720.00/4000.0
Ep  122 | Phase: ANTAGON | Ticks: 797 | Protag R: -11024.00 | Antag R: 10653.00 | Delivery:  46.9% | Budget Used: 3720.00/4000.0
Ep  123 | Phase: ANTAGON | Ticks: 775 | Protag R: -11315.00 | Antag R: 10943.00 | Delivery:  45.5% | Budget Used: 3720.00/4000.0
Ep  124 | Phase: ANTAGON | Ticks: 775 | Protag R: -9338.00 | Antag R: 8967.00 | Delivery:  44.0% | Budget Used: 3720.00/4000.0
Ep  125 | Phase: ANTAGON | Ticks: 794 | Protag R: -9710.00 | Antag R: 9338.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep  126 | Phase: ANTAGON | Ticks: 796 | Protag R: -8088.00 | Antag R: 7717.00 | Delivery:  56.1% | Budget Used: 3720.00/4000.0
Ep  127 | Phase: ANTAGON | Ticks: 793 | Protag R: -6758.00 | Antag R: 6387.00 | Delivery:  61.2% | Budget Used: 3720.00/4000.0
Ep  128 | Phase: ANTAGON | Ticks: 787 | Protag R: -13501.00 | Antag R: 13130.00 | Delivery:  42.1% | Budget Used: 3720.00/4000.0
Ep  129 | Phase: ANTAGON | Ticks: 791 | Protag R: -8613.00 | Antag R: 8242.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep  130 | Phase: ANTAGON | Ticks: 786 | Protag R: -10970.00 | Antag R: 10599.00 | Delivery:  52.9% | Budget Used: 3720.00/4000.0
Ep  131 | Phase: ANTAGON | Ticks: 788 | Protag R: -2494.00 | Antag R: 2122.00 | Delivery:  82.8% | Budget Used: 3720.00/4000.0
